0. 30. 60. THETAS
400 413 443 490. 510. 560. 620. 665. LO
0.00222 0.002752714 0.005990786 0.0146 0.033 0.0619 0.2755 0.4268 AW_MasonEtAl2016
0.0037976 0.00329286 0.0023885 0.001549 0.0012992 0.00089942 0.00059962 0.00039974 BBW
