#eta muw thetas a b c
0.080 0.82048 50 17.517 -547.553 10480.5
0.080 0.763094 60 17.4773 -674.481 16808.5
0.080 0.712903 70 17.1829 -712.973 20284
0.085 1 0 17.9117 -232.81 -1165.44
0.085 0.991568 10 17.9735 -257.563 -276.511
0.085 0.966878 20 17.8875 -288.26 783.799
0.085 0.927777 30 17.7347 -326.666 2141.3
0.085 0.877437 40 17.4184 -384.642 4207.37
0.085 0.82048 50 16.9945 -428.659 5521.82
0.085 0.763094 60 16.7498 -477.846 6627.74
0.085 0.712903 70 16.765 -541.239 7885.92
0.090 1 0 17.8452 -222.856 -1191.74
0.090 0.991568 10 17.9015 -244.967 -542.023
0.090 0.966878 20 17.8119 -274.681 507.366
0.090 0.927777 30 17.6543 -311.077 1750.87
0.090 0.877437 40 17.3358 -364.838 3460.19
0.090 0.82048 50 16.9123 -405.531 4499.48
0.090 0.763094 60 16.6853 -456.989 5774.69
0.090 0.712903 70 16.7072 -518.186 6824.08
0.100 1 0 17.7232 -203.466 -1483.21
0.100 0.991568 10 17.7816 -226.503 -669.844
0.100 0.966878 20 17.6829 -253.205 193.109
0.100 0.927777 30 17.5141 -284.637 1109.15
0.100 0.877437 40 17.1966 -334.168 2540.67
0.100 0.82048 50 16.7932 -375.89 3674.71
0.100 0.763094 60 16.5702 -420.898 4387.38
0.100 0.712903 70 16.6064 -479.272 5190.39
0.150 1 0 17.3486 -156.88 -1249.07
0.150 0.991568 10 17.3857 -170.774 -967.221
0.150 0.966878 20 17.2447 -183.925 -838.243
0.150 0.927777 30 17.0544 -205.936 -419.853
0.150 0.877437 40 16.7291 -240.163 103.652
0.150 0.82048 50 16.3584 -270.92 401.513
0.150 0.763094 60 16.1697 -304.099 314.841
0.150 0.712903 70 16.4098 -411.443 4750.62
0.200 1 0 17.1119 -125.034 -1597.74
0.200 0.991568 10 17.145 -136.638 -1429.04
0.200 0.966878 20 16.9939 -148.164 -1307.71
0.200 0.927777 30 16.7805 -162.583 -1233.77
0.200 0.877437 40 16.4518 -189.348 -1069.07
0.200 0.82048 50 16.0953 -214.003 -1089.77
0.200 0.763094 60 16.1521 -308.054 2383.07
0.200 0.712903 70 16.7139 -501.88 12198.5
